condition,subset,lang,ndcg_at_10,pass_at_1,num_correct,num_total
colembed,computer_science,english,78.04,0.9302,200,215
colembed,finance_en,english,68.6,0.7476,231,309
colembed,pharmaceuticals,english,67.23,0.8324,303,364
hybrid_deepseek,computer_science,english,,0.9535,205,215
hybrid_deepseek,finance_en,english,,0.8155,252,309
hybrid_deepseek,pharmaceuticals,english,,0.8929,325,364
hybrid_nemo,computer_science,english,,0.9302,200,215
hybrid_nemo,finance_en,english,,0.7994,247,309
hybrid_nemo,pharmaceuticals,english,,0.8791,320,364
jina_deepseek,computer_science,english,64.03,0.907,195,215
jina_deepseek,finance_en,english,46.94,0.7379,228,309
jina_deepseek,pharmaceuticals,english,56.48,0.8242,300,364
jina_deepseek_reranked,computer_science,english,82.37,0.9535,205,215
jina_deepseek_reranked,finance_en,english,65.65,0.7896,244,309
jina_deepseek_reranked,pharmaceuticals,english,65.05,0.8846,322,364
jina_nemo,computer_science,english,65.23,0.9163,197,215
jina_nemo,finance_en,english,50.09,0.7961,246,309
jina_nemo,pharmaceuticals,english,58.6,0.8242,300,364
jina_nemo_reranked,computer_science,english,83.02,0.9256,199,215
jina_nemo_reranked,finance_en,english,72.73,0.835,258,309
jina_nemo_reranked,pharmaceuticals,english,69.53,0.8846,322,364
